country,iso,year,upop,upop%,rpop,rpop%,total_pop,upopw,urban_water_imp_per,rpopw,rural_water_imp_per,tpopw,total_water_imp_per,upopnw%,rpopnw%,tpopnw%,region
Jordan,JOR,2015,6434.7,83.7,1255.1,16.3,7689.8,6295.9,97.8,1158.1,92.3,7454,96.9,2.2,7.7,3.1,Western Asia
Kazakhstan,KAZ,1995,8695.6,55.9,6854,44.1,15549.6,8481.4,97.5,6134.1,89.5,14615.5,94,2.5,10.5,6,Caucasus and Central Asia
Kazakhstan,KAZ,2000,8122.8,55.7,6452.8,44.3,14575.6,7962.7,98,5708.5,88.5,13671.2,93.8,2,11.5,6.2,Caucasus and Central Asia
Kazakhstan,KAZ,2005,8242.9,54.7,6821.2,45.3,15064.1,8121,98.5,5964,87.4,14085,93.5,1.5,12.6,6.5,Caucasus and Central Asia
Kazakhstan,KAZ,2015,8929.7,53.2,7840.8,46.8,16770.4,8876.8,99.4,6709.9,85.6,15586.6,92.9,0.6,14.4,7.1,Caucasus and Central Asia
Kazakhstan,KAZ,2010,8554.7,53.7,7366.5,46.3,15921.1,8470.3,99,6364.8,86.4,14835,93.2,1,13.6,6.8,Caucasus and Central Asia
Kazakhstan,KAZ,1990,9099.3,56.3,7072.6,43.7,16171.9,8857.2,97.3,6358.9,89.9,15216.1,94.1,2.7,10.1,5.9,Caucasus and Central Asia
Kenya,KEN,1990,3926.8,16.7,19519.6,83.3,23446.4,3597.2,91.6,6434.6,33,10031.7,42.8,8.4,67,57.2,Sub-Saharan Africa
Kenya,KEN,1995,5007.4,18.3,22410.7,81.7,27418.1,4483.1,89.5,8502.3,37.9,12985.4,47.4,10.5,62.1,52.6,Sub-Saharan Africa
Kenya,KEN,2015,11978.1,25.6,34770.5,74.4,46748.6,9779.7,81.6,19763.4,56.8,29543.1,63.2,18.4,43.2,36.8,Sub-Saharan Africa
Kenya,KEN,2000,6223.3,19.9,25061.8,80.1,31285,5442.6,87.5,10754.6,42.9,16197.2,51.8,12.5,57.1,48.2,Sub-Saharan Africa
